hospital,admissions,avg_billing
LLC Reyes,7,28917.34
Thomas Ltd,7,29350.51
PLC Scott,7,27567.07
Brown-Smith,7,26236.32
Ltd West,7,33040.0
Ltd Hansen,7,17290.6
and Sons Rodriguez,7,13734.42
Perry Group,7,23676.48
Inc Cruz,7,23472.54
PLC Perez,7,29769.19
Lewis LLC,7,16887.9
Lee Inc,7,17337.61
Group Martin,7,25836.92
Smith-Smith,7,24316.97
Ltd Perez,7,24704.33
Garcia Ltd,7,25304.74
Group Scott,7,26414.62
Inc Wood,7,24906.17
Graham Ltd,7,33023.39
LLC Turner,7,27160.7
Group Sullivan,7,25562.02
Group Wilson,7,36378.2
Wright Group,7,27370.01
Ltd Scott,7,33831.91
LLC Carter,7,17212.89
Morales Group,7,23301.71
Hill PLC,7,21006.48
Inc King,7,25424.18
Ltd White,7,24514.49
Robinson LLC,7,26385.77
Garza Group,7,33520.15
Lopez Ltd,7,20710.03
Williams Sons and,7,26254.29
Anderson and Sons,7,23084.29
LLC Robinson,7,34336.45
Bailey Inc,7,25663.07
Green LLC,7,21886.22
Hernandez Inc,7,22597.79
Ltd Ramirez,7,25106.75
Nguyen PLC,7,26469.45
Wood Group,7,26090.15
PLC Morales,7,23408.4
PLC Fisher,6,20882.94
Walker and Sons,6,27643.7
Bennett PLC,6,33265.06
Obrien PLC,6,14174.52
Sons Martin and,6,31387.35
Ltd Austin,6,36696.5
Sons Hunt and,6,30787.44
Hernandez Group,6,19679.68
Stewart PLC,6,20841.08
Young LLC,6,15329.59
LLC Myers,6,18011.28
Ltd Carter,6,38740.48
Bowman Ltd,6,20136.51
Ltd King,6,20711.13
Gonzalez Sons and,6,29810.43
Ltd Estrada,6,25201.54
Nelson Group,6,25146.34
Inc Mckee,6,30037.56
Hansen PLC,6,37763.24
LLC Baker,6,30254.67
Griffin Group,6,31588.19
Group Owens,6,20289.8
Williams-Jones,6,30174.91
Kim Inc,6,24280.0
Inc Powell,6,29997.23
Wood Inc,6,23084.4
Ltd Reyes,6,14961.41
Wright LLC,6,24188.51
and Campbell Sons,6,23216.85
Gibson Ltd,6,26890.55
Carter Ltd,6,20609.3
Group Hill,6,19243.33
Scott Inc,6,30532.9
Murray PLC,6,23869.02
Scott Ltd,6,18524.7
Ltd Stevens,6,26986.14
Inc Parker,6,10703.03
and Sons Miller,6,19756.15
Perez and Sons,6,27364.87
Lewis Group,6,24566.23
LLC Brooks,6,23810.65
LLC Evans,6,26291.03
Inc Burns,6,25607.62
Thomas Group,6,30156.25
Johnson-Williams,6,35379.28
Cox PLC,6,20571.56
Ltd Turner,6,30200.78
Silva Group,6,6992.88
Scott PLC,6,23377.29
LLC Stewart,6,31977.1
White PLC,6,30247.02
Baker Group,6,16246.43
Wright Inc,6,25192.28
Inc Schmidt,6,17721.95
Castillo Ltd,6,19629.74
Hayes Inc,6,22887.25
Gonzalez PLC,6,18891.45
Sanchez LLC,6,25201.77
Inc Walker,6,32994.72
Cole Ltd,6,24119.53
Mitchell Ltd,6,25358.67
Collins LLC,6,18978.25
Evans Ltd,6,28328.18
Baker Inc,6,15077.89
Miller-Smith,6,27947.63
Russell LLC,6,13097.82
Parker Sons and,6,21555.38
Parker Group,6,28927.95
Allen LLC,6,12516.97
Group Ortiz,6,22751.3
PLC Martinez,6,20764.87
Franklin Group,6,31350.28
LLC Mitchell,6,29523.06
Sons and Jackson,6,19883.25
Thompson Inc,6,15744.03
Inc Morgan,6,34496.56
Palmer Inc,6,19635.55
LLC Hall,6,25505.96
LLC Daniels,6,31622.27
PLC Obrien,6,26558.79
LLC Bennett,6,36735.98
Inc Freeman,6,26712.74
Perez Inc,6,11262.92
Group Fisher,6,23998.17
Ltd Wilson,6,21859.21
Inc Gonzales,6,27927.75
PLC Gutierrez,6,25253.42
Martinez Group,6,34492.02
Inc Sanchez,6,16191.01
Evans Group,6,32696.16
Stewart LLC,6,12937.64
Young Group,6,33723.24
Molina Group,6,25117.88
Evans Inc,6,14784.6
Myers PLC,6,15403.43
Ltd Rivera,6,24559.82
Ltd Spencer,6,10104.09
PLC Meyer,6,14127.25
Matthews Group,6,23209.96
Harvey PLC,6,23078.58
LLC Bell,6,30590.47
Edwards PLC,6,26987.49
LLC Edwards,6,26436.66
and Sons Lee,6,27145.77
Ramirez Inc,6,33815.35
Stone Inc,6,27208.25
Thomas PLC,6,14800.11
LLC Stone,6,21278.78
Young Inc,6,22526.37
PLC Mason,6,27632.15
Reynolds and Sons,6,32763.59
Diaz Inc,6,27289.83
Group Barnes,6,31724.73
Moore Sons and,6,14912.1
Tran LLC,6,21675.28
Wright PLC,6,27939.15
Ltd Baker,6,23892.44
Sons Jones and,6,31082.21
Torres Inc,6,19341.74
Ltd Hale,6,28138.28
Jones-Williams,6,26479.99
PLC Morris,6,22740.25
Hernandez-Smith,5,16355.64
Group Edwards,5,28552.71
Patel Ltd,5,25119.0
Wells and Sons,5,25889.24
Inc Sanders,5,18724.81
Ltd Gibson,5,31849.5
Rogers Group,5,19404.32
Ltd Gonzalez,5,34230.09
Baker Sons and,5,30854.15
Group Wood,5,23841.47
Brown-Williams,5,30228.71
Inc Williamson,5,39531.8
Campbell Group,5,14028.78
Nelson Ltd,5,23092.75
Pena PLC,5,24093.31
Walker Inc,5,16396.54
PLC Peterson,5,25129.88
and Miller Sons,5,31155.16
Sons Cox and,5,35544.77
and Sons Taylor,5,16620.04
Ltd Cox,5,22283.76
LLC Bullock,5,18318.1
Inc Edwards,5,26757.73
Edwards Ltd,5,23076.94
Olson LLC,5,9264.98
PLC Gonzales,5,31298.85
Davidson PLC,5,35084.89
PLC Kelly,5,20735.03
Group Montgomery,5,27419.2
Taylor Group,5,25258.17
PLC Aguilar,5,21033.57
Alvarado LLC,5,31343.89
PLC Olson,5,19882.93
PLC Hart,5,22263.38
Thompson LLC,5,28981.89
Inc Torres,5,42007.99
Dunn PLC,5,34437.76
Mason Group,5,13307.85
Ltd Alexander,5,43405.6
and Taylor Sons,5,20297.88
Group Flores,5,22322.18
LLC Thomas,5,22331.2
Perry and Sons,5,10504.51
Peters Ltd,5,16121.63
Foster Inc,5,35322.1
Martinez LLC,5,33774.24
Meyer Group,5,24541.57
PLC Russell,5,27852.46
Henderson PLC,5,21422.93
Miller-Anderson,5,38081.05
Ortiz Group,5,28792.39
Morgan Inc,5,27888.82
Meyer Ltd,5,32666.45
Sons Davis and,5,28183.35
Group Coleman,5,15705.97
Sons and Stevenson,5,26089.85
PLC Webb,5,23919.66
Wood PLC,5,17247.69
Group Morales,5,26086.02
Newman Group,5,27000.8
LLC Rivera,5,17904.35
PLC Harrison,5,34549.97
Ward Inc,5,26927.06
Inc Ferguson,5,38571.46
PLC Harper,5,29221.22
Group Jacobs,5,34327.18
Group Evans,5,22953.89
and Wilson Sons,5,15412.12
Group Lee,5,21469.86
Hill-Johnson,5,26502.15
Parks PLC,5,14748.14
Adams Ltd,5,14489.22
Vaughn PLC,5,10767.49
Sons and Jones,5,16019.96
Sons and Lopez,5,25334.76
Patterson Group,5,28830.8
Henry Inc,5,27290.61
Group Davidson,5,24508.18
Brooks Ltd,5,35305.85
Alvarez-Smith,5,25104.22
Lucas Inc,5,23310.3
Inc Barnes,5,15940.56
Group Peterson,5,28675.92
Group Mcdonald,5,30721.28
Group Schneider,5,24377.45
Inc Rivera,5,24619.33
Johnson-Taylor,5,28578.07
Rivera PLC,5,35801.18
Campbell Ltd,5,28046.09
Group Alexander,5,31881.74
Inc Hamilton,5,34710.81
Smith-Johnson,5,18917.49
Morris and Sons,5,18677.74
Group Gray,5,25882.88
Cruz PLC,5,30180.8
Group Lynch,5,26944.74
Group Baker,5,19928.54
Inc Allen,5,27727.39
Ltd Gray,5,30360.92
and Sons Thomas,5,33830.43
Inc Meyer,5,24815.32
PLC Parker,5,31703.4
and Sons Torres,5,13394.43
Morgan Ltd,5,30488.91
LLC Green,5,34018.49
and Sons Long,5,26850.43
Inc Lewis,5,28600.51
Clark Group,5,25242.33
Ltd Salazar,5,22869.36
Sons Lee and,5,25305.91
PLC Young,5,33840.03
Parker LLC,5,38942.04
Nelson and Sons,5,22380.43
Roberts Sons and,5,26131.85
Robinson Ltd,5,19838.54
Chapman PLC,5,20380.88
Sons and Allen,5,20286.75
Rodriguez-Miller,5,23320.87
Osborne Group,5,21109.44
LLC Garner,5,19557.4
Watson Ltd,5,23858.58
Bates Inc,5,36328.63
Inc Perry,5,21261.63
Ellis Ltd,5,34667.94
Roberts Group,5,19748.79
Ltd James,5,22007.41
Simmons Ltd,5,22205.67
Brown and Sons,5,20258.23
Ltd Russell,5,15187.78
Hill LLC,5,18141.3
Roberts Inc,5,27203.92
Rodriguez Sons and,5,35468.45
Wilson and Sons,5,26524.54
Group Snyder,5,22082.57
Simmons Group,5,38678.37
and Sons Jones,5,17794.75
and Sons Carter,5,27995.44
Davis-Sanchez,5,10234.31
Serrano Ltd,5,8334.25
Mitchell Group,5,36121.2
Carter PLC,5,17198.91
Ltd Garcia,5,23358.82
Kim Group,5,27503.78
PLC Ramos,5,28417.68
Nichols PLC,5,27400.28
Walters PLC,5,34615.19
LLC Hodge,5,34286.63
Sons Ortiz and,5,25314.09
Armstrong LLC,5,23400.88
Schroeder PLC,5,9024.93
PLC Medina,5,17815.38
Sullivan PLC,5,12754.45
LLC Austin,5,11777.71
Snyder PLC,5,30747.47
King PLC,5,21143.22
Ltd Jimenez,5,29267.36
Sanders Inc,5,35178.66
Marshall PLC,5,21387.22
Sherman Inc,5,21024.39
Miller-Thomas,5,23227.96
Cook-Johnson,5,21114.17
LLC Scott,5,26923.13
Moreno LLC,5,28847.62
PLC Soto,5,23290.73
Bishop PLC,5,17986.62
LLC Roberts,5,34491.86
Ltd Ward,5,11430.24
Inc Cox,5,24459.78
Morris Inc,5,17139.4
Price Inc,5,14319.92
Chen PLC,5,29058.92
and Robinson Sons,5,30876.46
Wright Ltd,5,36678.35
PLC Phillips,5,14487.77
Group Cross,5,24420.94
Hernandez LLC,5,14138.87
Owens PLC,5,18244.61
Perry Inc,5,24263.77
PLC Woods,5,22322.16
Mitchell PLC,5,26484.01
Ltd Wallace,5,30340.05
Burns Group,5,16537.57
Cook LLC,5,26127.64
Bailey LLC,5,16375.57
LLC Perry,5,19984.0
Austin LLC,5,34771.18
Sons Wilson and,5,28143.91
and Sons Brown,5,31634.25
Harris-Smith,5,18951.05
Gonzales Group,5,38304.63
LLC Cruz,5,24573.13
Marshall Group,5,33558.59
Ward Group,5,10261.29
Group Jackson,5,14506.9
PLC Walker,5,24834.8
James Inc,5,21761.55
Davis Sons and,5,18495.65
Diaz PLC,5,32469.11
Bishop Inc,5,15524.97
Group White,5,26729.2
Turner PLC,5,21323.25
Group Roberts,5,21177.71
Cole LLC,5,35015.61
Murray Ltd,5,38181.98
Brown Sons and,5,22514.85
Morales Ltd,5,26611.01
Inc Green,5,21597.63
Ltd Rodriguez,5,28773.87
Jones-Anderson,5,27383.85
Payne Inc,5,23469.32
Hunt Ltd,5,22019.19
Vasquez PLC,5,20386.63
Inc Perkins,5,41093.19
Garcia Sons and,5,32967.02
PLC Hicks,5,13819.59
PLC Wallace,5,19013.59
Baker Ltd,5,28863.59
Dawson Inc,5,36233.42
Inc Jordan,5,26280.5
Scott LLC,5,15916.07
Mosley Inc,5,18043.69
Ltd Stewart,5,21016.81
Ltd Kelley,5,24390.76
and Sons Olson,5,10257.24
Hughes PLC,5,23249.47
Johnson-Jones,5,11908.74
Inc Campbell,5,30877.85
Ltd Washington,5,13862.89
Smith-Williams,5,31696.21
Inc Murphy,5,27951.78
Pitts Ltd,5,13054.16
Sons and Hernandez,5,27038.2
Inc Hill,5,12130.01
Jennings Group,5,19293.4
Lee-Miller,5,28985.05
Valdez LLC,5,41384.46
Payne LLC,5,20774.48
Weber LLC,5,23733.67
Thompson and Sons,5,17704.77
LLC Hardy,5,31696.38
LLC Andrews,5,36484.41
Cruz Ltd,5,22298.03
Wood LLC,5,26593.2
Ramirez Ltd,5,14839.13
Peterson Ltd,5,32487.02
LLC Alexander,5,32758.29
Sons Wright and,5,24012.16
Inc Richards,5,28114.49
Inc Brock,5,18436.19
Sons Gonzalez and,4,27909.24
LLC Adams,4,33688.0
Ltd Zamora,4,24029.93
Group Turner,4,19154.02
Inc Wolfe,4,13133.46
Lara PLC,4,36911.19
Rodriguez-Smith,4,37479.6
Armstrong PLC,4,25266.07
Alexander Group,4,26826.6
PLC Morgan,4,41866.35
Smith-Lopez,4,23183.82
Group Phillips,4,31201.31
Group Maldonado,4,32870.16
Hernandez and Sons,4,34022.07
Collins Inc,4,35150.23
and Sons Evans,4,18130.1
Kennedy Group,4,12240.21
Group Valdez,4,11107.58
Knox Ltd,4,24793.31
Group Nguyen,4,29915.53
Kelly Ltd,4,43116.61
Patterson Ltd,4,27741.75
Allen-Johnson,4,23296.49
Sons Baker and,4,19354.71
LLC Price,4,18142.8
Navarro Inc,4,15134.4
Burch PLC,4,28802.32
Johnson-Myers,4,38816.22
LLC Horton,4,24560.45
LLC Ramirez,4,28330.56
Cox Group,4,15744.22
Hall Inc,4,20805.64
Cannon PLC,4,21365.98
PLC Hawkins,4,12691.5
Howard Ltd,4,25844.1
King-Garza,4,25377.73
Murphy Sons and,4,25061.29
Ltd Gomez,4,24345.54
Mitchell and Sons,4,9812.25
PLC Bishop,4,31855.84
Flores LLC,4,45617.1
Ryan LLC,4,18292.13
PLC Conner,4,17870.83
and Sons Thompson,4,6593.7
Inc Mcdonald,4,32769.7
Group Reyes,4,16996.47
Group Parsons,4,31439.95
Knapp LLC,4,24649.82
Sons and Walker,4,28601.98
Group Bates,4,19520.83
Medina PLC,4,26627.37
Ltd Crawford,4,13594.0
PLC Burke,4,21278.48
Sons and Garcia,4,29069.53
Group Hughes,4,25628.79
PLC Reynolds,4,20932.62
LLC Ramos,4,11634.94
Aguilar Ltd,4,35044.86
Inc Ward,4,9905.84
Ross Inc,4,21508.18
King LLC,4,23020.54
Mitchell LLC,4,17123.95
Price PLC,4,24314.92
Harrison-Moore,4,15875.67
Group Cooper,4,25953.41
Elliott LLC,4,31093.88
LLC Oneill,4,30456.83
and Young Sons,4,20779.37
LLC Park,4,15582.16
Kim LLC,4,22934.42
Sanchez-Martinez,4,16029.71
Henry Ltd,4,31476.11
Reynolds LLC,4,18942.6
LLC Walker,4,15697.46
and Sons Davis,4,24121.48
Wallace Group,4,24079.4
Inc Cooper,4,16487.58
Inc Cole,4,15864.54
Reynolds Inc,4,28275.7
Weber Inc,4,14946.16
Freeman Inc,4,28556.62
PLC Garza,4,32051.48
Sons White and,4,24962.97
Ruiz LLC,4,26965.02
Schultz Inc,4,40695.41
Frederick Inc,4,36461.6
Robinson PLC,4,17424.82
Inc Long,4,25504.72
PLC Oliver,4,20274.11
and Evans Sons,4,26661.27
Shelton Inc,4,42331.95
Cole PLC,4,25683.96
Carpenter PLC,4,31742.91
Group Adams,4,20337.58
Russell PLC,4,30828.11
Inc Ramirez,4,31138.16
Group Black,4,15281.58
Sons Little and,4,24319.64
Bryant Group,4,34248.08
and Sons Rogers,4,28830.39
PLC Lee,4,19065.48
Perry LLC,4,29741.99
Riley Inc,4,35394.1
PLC Ray,4,22136.91
Callahan PLC,4,27973.86
Rodriguez-Gonzalez,4,32417.81
Horton PLC,4,9783.74
Mendoza Group,4,25841.64
Barrett PLC,4,12846.25
Hughes and Sons,4,30236.42
Stanley LLC,4,16548.27
PLC Wood,4,17315.34
Ltd Howell,4,30639.6
Jordan Group,4,24355.1
Garrett Ltd,4,29070.76
Group Duncan,4,33302.87
Inc Hopkins,4,19680.04
Tyler PLC,4,27847.45
Inc Simon,4,25960.54
Wolf Ltd,4,22205.06
and Sons Garcia,4,27602.04
Ltd Lyons,4,17843.16
Inc Turner,4,15580.02
Inc Peterson,4,31332.69
Rogers Inc,4,19529.88
Diaz Group,4,33558.59
Thomas-Smith,4,27239.22
Price Ltd,4,17233.1
Phillips Group,4,27519.71
Bruce Group,4,17222.27
Johnson-Lewis,4,31799.35
Group Moreno,4,4450.93
Wood Ltd,4,28448.15
PLC Nelson,4,46275.6
Group Howard,4,20971.07
Kennedy Ltd,4,26753.6
Mills-Gray,4,36388.22
Butler LLC,4,31225.83
Bailey PLC,4,29408.44
Sandoval Group,4,21087.42
Ruiz PLC,4,24699.03
LLC Gutierrez,4,32242.92
Group Keller,4,20562.13
Group Hayes,4,29875.86
PLC Bailey,4,35335.61
Gray PLC,4,9483.75
Hill Sons and,4,25465.65
PLC Hanson,4,28300.87
Pearson PLC,4,45524.92
Boyd LLC,4,18401.05
Inc Woods,4,23736.65
Rice Inc,4,21236.27
Group Jordan,4,14594.97
Good PLC,4,16506.28
